MINISTRY OF JUSTICE,IP,AZZHKHAQ-AZZHKHAQ_IP1,Basic_Vip,VIP,21.55277777778,39.18972222222,,,,,,0,CIRCUIT,0,--,--
SAMIS - PASSPORT,IP,SUCT01_11-SUCT01_11_IP120,Basic_Vip,VIP,18.234375,42.657551,,,,,,0,CIRCUIT,0,--,--
GEN PRESIDENCY FOR PROMOTION OF VIRTUE & THE PREVE,IP,MURBRDBM-MURBRDBM_IP1,Basic_Vip,VIP,24.6594444444444,46.7036111111111,MURABBA,RIYADH,2,CENTRAL,0,0,CIRCUIT,1,--,--
MINISTRY OF INTERIOR-PUBLIC SECURITY,IP,MAKKAH-MAKKAH_IP1133,Basic,HAJJ,21.19489,39.58003,,,,,,0,CIRCUIT,0,--,--
RIYADH BANK (SC),IP,RYAD01_00_101-RYAD01_00_101_IP6,Basic_Vip,VIP,24.6216666666667,46.7363888888889,,,,,,0,CIRCUIT,0,--,--
SAUDI ARABIAN AIRLINES (SC),IP,KAARKHAA-KAARKHAA_IP16,Basic,HAJJ,21.702779,39.140834,,,,,,0,CIRCUIT,0,--,--
SAUDI ARABIAN AIRLINES (SC),IP,MAKA24_11-MAKA24_11_IP21,Basic_Vip,VIP,21.418889,39.824722,MANSOUR,MAKKAH,2,WESTERN,0,0,CIRCUIT,1,--,--
MODA-RSAF (SC),PLL,MAKKAH-TAIF_PLL5,Basic,HAJJ,21.485574,39.951732,,,,,,0,CIRCUIT,0,--,--
GID - Makkah District,IP,MAKA23_00_409-MAKA23_00_409_IP10,Basic,HAJJ,21.4124027777778,39.8662166666667,,,,,,0,CIRCUIT,0,--,--
MODA-RSAF (SC),PLL,KAARKHAQ-KKABRRAC_PLL1,Basic_Vip,VIP,18.297219,42.805464,,,,,,0,CIRCUIT,0,--,--
ASSIR FOR PRESS AND PUBLISHING(SC),IP,JEDA12-JEDA12_IP45,Basic_Vip,VIP,21.5188,39.18108,SHARAFIYAH,JEDDAH,2,WESTERN,0,0,CIRCUIT,1,--,--
GENERAL CARS SYNDICATE (SC),DIA,MAKA22_00_407-RYAD06_43_DIA1,Basic,HAJJ,21.4403055555556,39.7859194444444,,,,,,0,CIRCUIT,0,COPPER,--
MINISTRY OF INTERIOR-PUBLIC SECURITY,IP,MAKA23_11-MAKA23_11_IP50,Basic,HAJJ,21.40825,39.8886944444444,AZIZIYAH,MAKKAH,0,WESTERN,2,0,CIRCUIT,2,COPPER,--
MINISTRY OF INTERIOR-PASSPORT(SC),IP,NAJR08_11_215-NAJR08_11_215_IP1,Basic_Vip,VIP,17.446694,44.719553,,,,,,0,CIRCUIT,0,--,--
MINISTRY OF INTERIOR-PUBLIC SECURITY,IP,DMAM17_31-DMAM17_31_IP8,Basic_Vip,HAJJ-VIP,26.471944,49.796944,,,,,,0,CIRCUIT,0,--,--
SAMIS - PASSPORT,IP,KKNARDAL-KKNARDAL_IP2,Basic_Vip,VIP,24.9638888888889,46.7,MURSALAT,RIYADH,1,CENTRAL,0,0,CIRCUIT,1,--,--
MINISTRY OF INTERIOR-PUBLIC SECURITY,IP,TAIF-TAIF_IP450,Basic,HAJJ,21.646669,40.386344,,,,,,0,CIRCUIT,0,--,--
MINISTRY OF EDUCATION (SC),IP,ZAFRDNAA-ZAFRDNAA_IP1,Basic_Vip,VIP,24.463056,39.619167,,,,,,0,CIRCUIT,0,--,--
MINISTRY OF EDUCATION (SC),IP,BURA01-BURA01_IP152,Basic_Vip,VIP,26.32484,43.97989,,,,,,0,CIRCUIT,0,--,--
MODA-RSAF (SC),PLL,KHRJRDCP-SLMNRDU0096_PLL1,Basic_Vip,VIP,24.69564,46.71717,,,,,,0,CIRCUIT,0,--,--
National Guard Health Affairs (NGHA),IP,JEDA13_00_202-JEDA13_00_202_IP1,Basic_Vip,VIP,21.428542,39.365751,JAWHARAH,JEDDAH,2,WESTERN,0,0,CIRCUIT,1,--,--
SAMIS - PASSPORT,IP,JDYDHDAD-JDYDHDAD_IP2,Basic_Vip,VIP,31.332778,41.443055,,,,,,0,CIRCUIT,0,--,--
GID - Makkah District,IP,JEDA02_00_442-JEDA02_00_442_IP2,Basic_Vip,VIP,21.545234,39.163181,,,,,,0,CIRCUIT,0,--,--
PRESIDENCY OF GIRLS EDUCATION (SC),IP,DAWA36-DAWA36_IP44,Basic_Vip,VIP,24.501189,44.386606,,,,,,0,CIRCUIT,0,--,--
UNITED INSTALMENT SALES CO. LTD. SC,IP,JIZA03_41-JIZA03_41_IP10,Basic_Vip,VIP,16.908936,42.558037,JIZAN,JIZAN,2,SOUTHERN,0,0,CIRCUIT,1,--,--
MODA-RSAF (SC),PLL,TABUK-TAIF_PLL2,Basic_Vip,VIP,26.414031,37.217772,,,1,,0,0,CIRCUIT,1,--,--
MINISTRY OF PTT- POST(SC),IP,ARAR-ARAR_IP247,Basic_Vip,VIP,30.9692219999999,41.032654,ARAR,ARAR,3,EASTERN,0,0,CIRCUIT,1,--,--
SAUDI TELECOM COMPANY -  Personal Sector,PLL,JIZA03_41-JIZA03_41_PLL2,Basic_Vip,VIP,16.908925,42.558048,,,,,,0,CIRCUIT,0,--,--
SAMIS - PASSPORT,IP,JIZAN-JIZAN_IP408,Basic_Vip,VIP,16.900062,42.573964,,,,,,0,CIRCUIT,0,UPE,UP
MODA-RSAF (SC),PLL,ABHA-RIYADH_PLL17,Basic_Vip,VIP,24.695647,46.717178,,,,,,0,CIRCUIT,0,--,--
GID - Makkah District,IP,MAKA23_00_226-MAKA23_00_226_IP13,Basic,HAJJ,21.3980388888889,39.8876472222222,,,,,,0,CIRCUIT,0,--,--
SAUDI ARABIAN AIRLINES (SC),IP,JEDAAP-JEDAAP_IP183,Basic_Vip,VIP,21.669384,39.151192,,,,,,0,CIRCUIT,0,--,--
GID - Makkah District,IP,MAKKAH-MAKKAH_IP1526,Basic,HAJJ,21.42172,39.82913,,,,,,0,CIRCUIT,0,--,--
GENERAL CARS SYNDICATE (SC),IP,AZIZKHCC-AZIZKHCC_IP14,Basic,HAJJ,21.425292,39.857293,AZIZIYAH,MAKKAH,0,WESTERN,2,5,CIRCUIT,2,--,--
